Datum od,Datum do,Čas od,Čas do,ID pobočky,Název pobočky,Region,Typ požadavku,Zdroj
2026-02-09,2026-02-09,13:30,17:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-09,2026-02-09,15:00,17:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-09,2026-02-09,16:00,17:15,555,Nýřany,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-10,2026-02-10,09:00,16:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-10,2026-02-10,09:00,12:30,187,Jablonec nad Nisou - OC Rýnovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-10,2026-02-10,08:45,12:30,555,Nýřany,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-10,2026-02-10,13:30,16:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-10,2026-02-10,14:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-11,2026-02-11,09:00,17:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-11,2026-02-11,13:30,17:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-11,2026-02-11,13:30,18:00,187,Jablonec nad Nisou - OC Rýnovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-11,2026-02-11,13:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-12,2026-02-12,13:30,18:00,187,Jablonec nad Nisou - OC Rýnovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-13,2026-02-13,09:00,16:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-13,2026-02-13,12:30,16:15,555,Nýřany,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-15,2026-02-15,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
